title,track,mode,region,level,deadline,description,format,eligibility,howToApply,tags,applyUrl,officialUrl
"Canadian High Schools Model United Nations (CAHSMUN)","MUN","In-Person","Canada","High School","TBA (see official site)","CAHSMUN is one of Canada’s best-known student-run MUN conferences, with a long-running reputation for strong chairing and serious committee work. It draws delegations from across Canada and often beyond, so it feels like a real circuit event rather than a single-school conference. If you want a high-quality, classic MUN experience with strong debate culture, this is a solid flagship pick.","Opening Ceremony -> Committee Sessions (GA/SC/Crisis) -> Draft Resolutions/Directives -> Negotiation & Voting -> Closing Ceremony","High school delegates (typically Grades 9-12); usually school delegations, some conferences allow independent delegates (check registration page).","1. Open the official site. 2. Go to registration. 3. Register as a school delegation (or individual if offered). 4. Submit delegation details and preferences. 5. Pay fees and await country/committee assignments.","mun|debate|diplomacy|resolution-writing|north-america","https://cahsmun.org/","https://cahsmun.org/"
"Canadian International Model United Nations (CAIMUN)","MUN","In-Person","Canada","High School","TBA (see official site)","CAIMUN is a major Vancouver-area MUN that attracts a broad mix of local and international-style delegations. It is well regarded for structured committees and a competitive but welcoming atmosphere, which makes it good for both first-timers and experienced delegates. It’s also a strong option if you want a conference that feels polished and professionally run.","Opening Ceremony -> Committee Sessions -> Moderated/Unmoderated Caucus -> Resolutions/Directives -> Voting -> Closing Ceremony","High school delegates (typically Grades 9-12); commonly school delegations.","1. Visit the official site. 2. Find the conference registration section. 3. Register your delegation and submit required information. 4. Complete payment steps. 5. Watch email updates for assignments and prep materials.","mun|debate|diplomacy|general-assembly|crisis","https://caimun.ca/","https://caimun.ca/"
"Vancouver Model United Nations (VMUN)","MUN","In-Person","Canada","High School","TBA (see official site)","VMUN is one of the most recognized MUN conferences in Western Canada and is often a key date on the student circuit. Its scale and committee variety give it that big-conference energy, with lots of different debate styles and difficulty levels. If you want a conference where you can find your niche, from beginner committees to advanced crisis, VMUN usually delivers.","Opening Ceremony -> Committee Sessions -> Caucus & Negotiation -> Draft Resolutions/Directives -> Voting -> Closing Ceremony","High school delegates (typically Grades 9-12); usually school delegations.","1. Go to the official VMUN website. 2. Navigate to registration. 3. Register as a delegation and submit details. 4. Pay fees. 5. Await assignments and study guides.","mun|debate|diplomacy|large-conference|canada","https://vmun.com/","https://vmun.com/"
"Southern Ontario Model United Nations Assembly (SOMA)","MUN","In-Person","Canada","High School","TBA (see official site)","SOMA is a classic Ontario circuit conference with a strong reputation for committee depth and delegate training through real debate. It often feels academically serious, especially in committees that require careful policy thinking and coalition-building. If you’re aiming to sharpen parliamentary procedure and resolution writing, SOMA is a strong skill-building conference.","Opening Session -> Committee Sessions -> Draft Resolutions -> Amendments & Voting -> Closing Session","High school delegates (typically Grades 9-12); commonly school delegations.","1. Open SOMA’s official site. 2. Locate conference registration. 3. Register your school delegation. 4. Complete required forms and fee payment. 5. Confirm assignments and review rules of procedure.","mun|parli-procedure|resolution-writing|ontario|debate","https://www.soma.on.ca/","https://www.soma.on.ca/"
"Ontario Model United Nations (OMUN)","MUN","In-Person","Canada","High School","TBA (see official site)","OMUN is a highly visible Canadian conference with a strong brand and wide participation, especially across Ontario and nearby regions. It’s known for structured committees and an experience that feels like a proper, large-scale conference rather than a small school event. If you want something recognizable and “circuit legit,” OMUN is a safe and prestigious addition.","Opening Ceremony -> Committee Sessions -> Resolutions/Directives -> Voting -> Closing Ceremony","High school delegates (typically Grades 9-12); usually school delegations.","1. Visit the OMUN website. 2. Go to the registration section. 3. Register your delegation and submit requested details. 4. Pay fees according to instructions. 5. Wait for committee/country assignments and prep materials.","mun|debate|diplomacy|canada|conference","https://ontariomun.com/","https://ontariomun.com/"
"Toronto Model United Nations (TMUN)","MUN","In-Person","Canada","High School","TBA (see official site)","TMUN is a well-known Toronto-area conference that tends to attract competitive delegates and experienced school delegations. It’s a good pick if you want a high-energy MUN with strong debate tempo and a lot of peer learning from other delegations. The committee mix usually supports both standard GA debate and more advanced tracks.","Opening -> Committee Sessions -> Negotiation/Caucus -> Resolutions/Directives -> Voting -> Closing","High school delegates (typically Grades 9-12); commonly school delegations.","1. Open TMUN’s official site. 2. Find registration instructions. 3. Register as a delegation and provide delegate counts. 4. Pay fees. 5. Confirm assignments and download background guides.","mun|debate|diplomacy|toronto|high-school","https://tmun.ca/","https://tmun.ca/"
"Toronto Metropolitan Model United Nations (METMUN)","MUN","In-Person","Canada","High School","TBA (see official site)","METMUN is a growing Canadian circuit option that benefits from an organized structure and a broad delegate base. It’s appealing if you want a conference that feels modern and accessible while still maintaining serious committee standards. Delegates often like it because it combines clear logistics with real debate intensity.","Opening Ceremony -> Committee Sessions -> Drafting -> Voting -> Closing Ceremony","High school delegates (typically Grades 9-12); usually school delegations.","1. Go to the official METMUN site. 2. Navigate to registration. 3. Register your delegation and submit required information. 4. Pay fees. 5. Watch for assignments and conference updates.","mun|debate|diplomacy|canada|conference","https://torontometmun.com/","https://torontometmun.com/"
"Secondary Schools United Nations Symposium (SSUNS)","MUN","In-Person","Canada","High School","TBA (see official site)","SSUNS is one of the most established high school MUN conferences in Canada, and it is widely respected for its academic seriousness. Many delegates treat it as a flagship conference because of its scale and the strong culture of research-driven debate. If you want a conference that looks and feels genuinely prestigious, SSUNS is a standout.","Opening Ceremony -> Committee Sessions -> Caucus -> Draft Resolutions -> Voting -> Closing Ceremony","High school delegates (typically Grades 9-12); usually school delegations.","1. Open the official SSUNS website. 2. Check registration dates and delegation requirements. 3. Register your delegation. 4. Pay fees as instructed. 5. Confirm assignments and prepare position papers if required.","mun|prestige|debate|research|canada","https://ssuns.org/","https://ssuns.org/"
"North American Model United Nations (NAMUN)","MUN","In-Person","Canada","High School","TBA (see official site)","NAMUN is a major Toronto-based MUN that is known for its international feel and consistent conference standards. It is a strong choice if you want something that reads instantly credible to anyone familiar with the North American circuit. The conference typically balances polished logistics with committees that reward preparation and diplomacy.","Opening Ceremony -> Committee Sessions -> Drafting -> Voting -> Closing Ceremony","High school delegates (typically Grades 9-12); school delegations.","1. Visit the official NAMUN site. 2. Go to registration. 3. Register your delegation and submit participant details. 4. Pay fees. 5. Await assignments and conference materials.","mun|debate|diplomacy|north-america|toronto","https://namun.org/","https://namun.org/"
"McMaster Model United Nations (McMUN)","MUN","In-Person","Canada","High School","TBA (see official site)","McMUN is a strong conference option backed by a university-hosted organization, which often translates into structured committees and careful planning. It’s a good pick if you want a conference with an academic vibe and committees that reward clear policy thinking. Delegates who like substance-heavy debate typically enjoy McMUN.","Opening -> Committee Sessions -> Drafting -> Voting -> Closing","High school delegates; may accept school delegations and, in some cases, independent delegates (check registration).","1. Open the official McMUN site. 2. Find registration details for the relevant year. 3. Register your delegation. 4. Complete payment. 5. Confirm assignments and prep materials.","mun|university-hosted|debate|policy|canada","https://mcmun.org/","https://mcmun.org/"
