title,track,mode,region,level,deadline,description,format,eligibility,howToApply,tags,applyUrl,officialUrl
"Mid-American Model United Nations (MAMUN) 2026","MUN","In-Person","USA/Canada","High School","See official registration page","MAMUN is a major Midwest conference that many schools treat as a core part of their season because it’s big, structured, and genuinely competitive. Committees tend to reward delegates who can negotiate, merge blocs, and produce clean, realistic resolutions rather than just speaking well. It’s also a strong conference for learning leadership roles because the pace forces you to organize your bloc efficiently.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Amendments -> Voting and awards","High school students (typically Grade 8-12); usually via school delegations; advisor required","1. Open the official calendar page. 2. Review conference dates and deadlines. 3. Register your delegation or school. 4. Submit delegate roster and committee preferences. 5. Pay fees and complete any required forms.","mun|high-school|usa|midwest|competitive","https://www.mamunonline.com/calendar","https://www.mamunonline.com/calendar"
"Harvard National Model United Nations (HNMUN) 2026","MUN","In-Person","USA/Canada","High School","See official registration page","HNMUN is one of the most prestigious high school Model UN conferences in the world and consistently attracts top delegations from many countries. It’s known for high intensity committees where awards require deep research, strong procedural control, and real coalition leadership. If you want a globally recognized conference that signals serious MUN level, HNMUN is a top tier target.","Opening ceremonies -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school students; international delegations welcome; school registration typical","1. Open the official HNMUN site. 2. Review registration requirements and timelines. 3. Register your school delegation. 4. Submit roster and preferences. 5. Pay fees and submit required documents (e.g., position papers if required).","mun|high-school|prestige|harvard|boston","https://www.hnmun.org/what-is-hnmun","https://www.hnmun.org/what-is-hnmun"
"NAIMUN LXIII (North American Invitational Model United Nations)","MUN","In-Person","USA/Canada","High School","See official registration page","NAIMUN is a highly respected Georgetown hosted conference that’s famous for strong committee rigor and competitive awards. Delegates like it because it rewards disciplined diplomacy and realistic policy, not just loud debate. It’s also a strong conference for developing advanced drafting skills because outcomes and coalition building matter throughout.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Amendments -> Voting and awards","High school students; typically through school delegations with an advisor","1. Open the official NAIMUN site. 2. Locate registration and key deadlines. 3. Register your delegation and advisor. 4. Submit delegate roster and preferences. 5. Pay fees and complete any required submissions.","mun|high-school|georgetown|prestige|east-coast","https://naimun.modelun.org/","https://naimun.modelun.org/"
"ILMUNC 2026 (Ivy League Model United Nations Conference)","MUN","In-Person","USA/Canada","High School","See official registration page","ILMUNC is widely known on the US circuit for high quality committee design and a competitive delegate pool. It is prestigious because many strong programs attend, and awards tend to go to delegates who combine research with practical bloc leadership. If you want a serious conference that trains both speaking and drafting at a high level, ILMUNC is a strong pick.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school students; typically school delegations; eligibility rules listed on site","1. Open the conference schedule page. 2. Follow registration instructions for delegations. 3. Submit roster and committee preferences. 4. Pay fees by deadlines. 5. Confirm assignments and complete required prep.","mun|high-school|ivy-league|philadelphia|competitive","https://www.ilmunc.com/conference-schedule","https://www.ilmunc.com/conference-schedule"
"McMUN 2026","MUN","In-Person","USA/Canada","High School","See official registration page","McMUN is a respected conference that attracts strong delegations and is known for consistent organization and active committees. It’s especially useful for delegates who want lots of negotiation and drafting reps, because committees usually stay productive across sessions. If you want a credible conference that balances accessibility with real competition, McMUN is a solid choice.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school students; school delegations common; see site for grade rules","1. Open the official McMUN site. 2. Find registration details for the current cycle. 3. Register your school delegation. 4. Submit roster and preferences. 5. Pay fees and submit required documents if listed.","mun|high-school|usa|in-person|resolution","https://www.mcmun.org/","https://www.mcmun.org/"
"North American Model United Nations (NAMUN) 2026","MUN","In-Person","USA/Canada","High School","See official registration page","NAMUN is a well established conference and is widely attended, which makes committee rooms competitive and fast paced. Delegates often like it because it pushes you to negotiate early, merge efficiently, and write workable clauses under time pressure. It’s a strong option if you want a big conference experience without jumping straight to the most massive global events.","Opening ceremonies -> Committee sessions -> Working papers -> Draft resolutions -> Amendments -> Voting and awards","High school students; typically through school delegations; advisor required","1. Open the official NAMUN site. 2. Review conference details and deadlines. 3. Register your delegation. 4. Submit delegate roster and committee preferences. 5. Pay fees and complete any required forms.","mun|high-school|canada|toronto|large","https://www.namun.org/","https://www.namun.org/"
"National Model United Nations (NMUN) New York 2026","MUN","In-Person","USA/Canada","University","See official registration page","NMUN New York is one of the most realistic UN simulations in the world, known for strict procedure and a strong emphasis on staying in character. It’s prestigious because it’s huge, it attracts universities globally, and the closing sessions are tied to the UN setting in New York. If you want a conference that feels like actual multilateral diplomacy, NMUN is a flagship.","Orientation -> Committee sessions (strict procedure) -> Working papers -> Merged drafts -> Adoption and closing sessions","University level; some conferences have separate rules; see official eligibility","1. Open the NMUN New York page. 2. Review eligibility and delegation requirements. 3. Register delegation and advisors. 4. Submit required forms and delegate details. 5. Pay fees and complete preparations.","mun|university|new-york|realism|procedure","https://www.nmun.org/conferences/new-york.html","https://www.nmun.org/conferences/new-york.html"
"National Model United Nations (NMUN) Washington D.C. 2026","MUN","In-Person","USA/Canada","University","See official registration page","NMUN Washington D.C. offers the same realism-forward style as NMUN New York, but in a schedule that works better for fall or alternative planning. It’s known for strict rules of procedure and rewarding delegations that negotiate and merge effectively. If you want a high credibility simulation that emphasizes professionalism over gavel-hunting, this is a strong choice.","Orientation -> Committee sessions -> Working papers -> Merged drafts -> Adoption and closing","University level; see official eligibility","1. Open the NMUN DC page. 2. Check conference dates and delegation requirements. 3. Register delegation and advisors. 4. Submit required forms. 5. Pay fees and complete preparation steps.","mun|university|washington-dc|realism|procedure","https://www.nmun.org/conferences/washington-dc.html","https://www.nmun.org/conferences/washington-dc.html"
"THIMUN The Hague 2026","MUN","In-Person","Europe","High School","See official registration page","THIMUN The Hague is the historic anchor of the global MUN circuit and is respected for its diplomacy-first culture. It’s unique because it traditionally emphasizes consensus building and resolution quality over aggressive award chasing, which changes how committees feel. If you want the closest thing to the classic “Hague model” experience, THIMUN is one of the most globally recognized names.","Opening session -> Committee sessions (THIMUN procedure) -> Lobbying and drafting -> Adoption and closing","High school delegates; international school delegations welcome; see eligibility rules","1. Open the Hague conference page. 2. Review registration timelines. 3. Register your school delegation. 4. Submit roster and required details. 5. Pay fees and complete any required submissions.","mun|high-school|thimun|the-hague|prestige","https://thehague.thimun.org/de-hague-conference/","https://thehague.thimun.org/de-hague-conference/"
"FWWMUN London 2026","MUN","In-Person","Europe","High School","See official registration page","FWWMUN London is designed as a globally accessible, international-style conference with strong event production and a diverse delegate pool. It’s popular because it lets students combine diplomacy training with a major global city setting, and committees tend to be energetic and outcome focused. If you want an international conference experience that is easy to join without needing a school’s long tradition, this is a strong pick.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and closing","High school students (typically ages 13-19); check site for exact requirements","1. Open the official London page. 2. Register as an individual or delegation if offered. 3. Fill in delegate details. 4. Pay fees by the deadline. 5. Confirm assignment and complete any required preparation.","mun|high-school|europe|london|international","https://www.fwwmun-nyc.org/mun-london","https://www.fwwmun-nyc.org/mun-london"
"FWWMUN Paris 2026","MUN","In-Person","Europe","High School","See official registration page","FWWMUN Paris is a strong option for delegates looking for an international conference in Europe with a tourism-friendly, city-based format. It’s interesting because committees often connect to themes that fit the location, and the delegate pool is typically multinational. If you want a conference that feels global and accessible while still pushing real negotiation and drafting, Paris is a good pick.","Opening session -> Committee sessions -> Drafting and merging -> Voting and closing","High school students (typically ages 13-19); check site for eligibility rules","1. Open the official Paris page. 2. Complete registration steps. 3. Submit delegate details and preferences. 4. Pay fees. 5. Confirm assignment and attend conference sessions.","mun|high-school|europe|paris|international","https://www.fwwmun-nyc.org/mun-paris","https://www.fwwmun-nyc.org/mun-paris"
"FWWMUN Rome 2026","MUN","In-Person","Europe","High School","See official registration page","FWWMUN Rome is known for combining conference structure with location-aware committee themes, which makes the simulation feel more grounded. It attracts international delegations who want a global experience without needing a traditional long-running circuit conference. If you want a polished international event with committees designed to produce outcomes, Rome is a strong choice.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and closing","High school students (typically ages 13-19); check official rules","1. Open the official Rome page. 2. Register as a delegate or delegation. 3. Submit personal details and preferences. 4. Pay fees. 5. Confirm assignment and complete any required prep.","mun|high-school|europe|rome|international","https://www.fwwmun-nyc.org/mun-rome","https://www.fwwmun-nyc.org/mun-rome"
"FWWMUN Amsterdam 2026","MUN","In-Person","Europe","High School","See official registration page","FWWMUN Amsterdam is part of a multi-city international series and is popular because it’s easy for globally mobile delegations to join. It tends to attract a mixed delegate pool, which makes committees feel international even for first-timers. If you want a European conference that’s accessible and still structured around real negotiation and drafting, Amsterdam is a strong pick.","Opening session -> Committee sessions -> Drafting and negotiation -> Voting and closing","High school students (typically ages 13-19); check eligibility rules on site","1. Open the official Amsterdam page. 2. Register and submit delegate details. 3. Select committees if offered. 4. Pay fees by deadlines. 5. Confirm assignment and complete preparation.","mun|high-school|europe|amsterdam|international","https://www.fwwmun-nyc.org/mun-amsterdam","https://www.fwwmun-nyc.org/mun-amsterdam"
"LIMUN High School (LIMUN HS) 2026","MUN","In-Person","Europe","High School","See official registration page","LIMUN HS is one of the most recognized UK-based MUN experiences for high school delegates and benefits from being connected to the wider LIMUN brand. It’s valued because committees usually attract serious preparation and reward clear procedure plus realistic policy. If you want a well-known London conference that reads as credible internationally, LIMUN HS is a strong choice.","Opening session -> Committee sessions -> Working papers -> Draft resolutions -> Voting and awards","High school students (typically Grade 9-12); international delegations welcome; see eligibility rules","1. Open the LIMUN HS info page. 2. Review dates and registration requirements. 3. Register as a delegation. 4. Submit roster and preferences. 5. Pay fees and submit any required documents.","mun|high-school|uk|london|prestige","https://www.limun.org.uk/about-hs","https://www.limun.org.uk/about-hs"
